135899, T,  6
118653, T,  5
11276258, L,  59
498700, S,  0
4273800, S,  0
10176, S,  19
8955660, S,  0
8711640, S,  6
8612520, S,  0
12316387, D,  26
12229000, S,  0
706262, T,  14
3110250, S,  0
530300, S,  3
10131750, S,  2
5900, S,  5
118350, S,  0
2112400, S,  0
9770143, D,  15
10723941, D,  23
10807552, D,  10
4692, D,  3
2576, D,  20
11529500, S,  0
2040, S,  0
416431, S,  2
14565, S,  0
497, D,  86
391, D,  87
1719, D,  86
12065000, S,  0
13092263, S,  0
248004, S,  0
5960, S,  0
536500, S,  1
127050, S,  2
508200, S,  1
11956329, S,  2
11996586, S,  0
16519, H,  10
4090, D,  0
12570500, S,  3
12523000, S,  0
12465000, S,  4
12324000, S,  1
12816321, S,  13
12932000, S,  0
12358000, S,  0
12655500, S,  0
11775500, S,  0
12152000, S,  0
82123, T,  1
84860, T,  11
79322, T,  1
121814, S,  1
89936, S,  2
9251415, S,  2
12505000, S,  1
12230500, S,  2
12396500, S,  0
12201500, S,  0
11727000, S,  0
12525000, S,  0
12483000, S,  0
12383500, S,  0
12080500, S,  0
126, S,  2
995, S,  3
231, S,  4
57, S,  19
5050, S,  5
514200, S,  0
12135500, D,  4
178822, L,  28
7047035, L,  11
11281287, L,  10
11513615, D,  1
12190238, D,  9
12613000, D,  1
12035924, D,  5
12146207, D,  8
990000, L,  19
68700, L,  19
12278000, S,  1
5439, S,  17
7083, D,  0
9377, D,  17
5240, S,  3
26862, S,  1
527800, S,  6
12992000, S,  0
12972500, S,  0
12987500, S,  2
5744045, L,  16
1065222, L,  13
930, S,  1
12600000, S,  1
11970500, S,  0
12099500, S,  1
305237, S,  12
7521867, S,  2
225404, S,  7
12363538, S,  10
11264987, L,  15
5912622, T,  3
12558000, S,  1
12924000, S,  0
12264000, S,  0
2904000, S,  4
7037625, S,  1
12256500, S,  0
12147000, S,  0
246216, S,  19
12880000, S,  0
482200, S,  0
7767600, S,  0
26600, S,  2
12259000, S,  3
12131500, S,  1
12042500, S,  0
435, S,  19
180, S,  0
106, S,  19
